Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1500.2667129963772,OUT049
FDW14,1391.5692027822288,OUT017
NCN55,573.2852220290303,OUT010
FDQ58,1663.8113898385886,OUT017
FDY38,5998.294171007888,OUT027
FDH56,1600.3504546024858,OUT046
FDL48,706.4799015187908,OUT018
FDC48,2378.074740890655,OUT027
FDN33,1424.8831121631758,OUT045
FDA36,2697.687524365989,OUT017
FDT44,1603.561353014565,OUT017
FDQ56,1391.5692027822288,OUT045
NCC54,573.8211645358779,OUT019
FDU11,2120.1117931591534,OUT049
DRL59,750.6794936860854,OUT013
FDM24,2648.0653865584427,OUT049
FDI57,3666.120290088734,OUT045
DRC12,2697.687524365989,OUT018
NCM42,2389.8116873269687,OUT027
FDA46,539.0205083610849,OUT010
FDA31,2688.266377816054,OUT013
NCJ31,4123.680518768691,OUT035
FDG52,703.9659579295834,OUT046
NCL19,344.3765110206428,OUT019
FDS10,2697.687524365989,OUT035
FDX22,564.8344653266211,OUT010
NCF19,694.417606784681,OUT035
NCE06,1663.8113898385886,OUT046
DRC27,2697.687524365989,OUT046
FDE21,2120.1117931591534,OUT035
NCR42,128.93071980295096,OUT019
FDX51,2697.687524365989,OUT018
NCR06,675.5415721979953,OUT018
FDU31,4330.743096355043,OUT027
FDU59,3439.4701288900083,OUT017
FDR03,5998.294171007888,OUT027
FDS49,2367.604599115032,OUT027
FDD48,344.3765110206428,OUT010
NCF18,3582.1011307056574,OUT017
NCD43,2305.8169012436288,OUT027
NCD54,2317.0912945598984,OUT018
FDY19,344.3765110206428,OUT010
NCY54,3456.870524308574,OUT017
NCL19,2592.488043102005,OUT018
FDP23,566.608283801252,OUT010
FDC26,1566.606846917604,OUT013
FDR14,128.93071980295096,OUT010
NCS41,2697.687524365989,OUT035
FDF41,4121.597957048739,OUT035
FDU34,2120.1117931591534,OUT046
DRH11,1108.9462793077143,OUT046
FDM03,1498.3155763918485,OUT013
FDS31,2697.687524365989,OUT017
FDJ20,1615.9882525896082,OUT017
FDV44,4330.743096355043,OUT027
FDG02,2697.687524365989,OUT049
FDA09,2694.2687603854256,OUT013
FDT04,717.5135618941488,OUT013
FDL58,567.3494199512189,OUT019
FDE52,3430.977475148,OUT045
FDW12,2592.488043102005,OUT035
FDL51,2697.687524365989,OUT017
NCY42,3533.8814951149384,OUT027
FDR07,1380.1910780538017,OUT017
FDN40,2653.3227251427347,OUT045
FDB35,2389.8116873269687,OUT027
FDA22,3434.036270748176,OUT017
NCL06,2697.687524365989,OUT046
FDI35,3458.5764152185666,OUT013
NCW42,2697.687524365989,OUT045
NCX06,2697.687524365989,OUT049
FDC37,3533.8814951149384,OUT027
FDZ14,2120.1117931591534,OUT018
DRG49,4095.5723889404653,OUT049
NCG06,4184.618915694622,OUT045
DRC36,2688.266377816054,OUT045
FDV21,344.3765110206428,OUT019
FDB53,3430.8953580493217,OUT046
DRP47,571.3023572152257,OUT019
FDA14,1653.6233500171606,OUT013
DRC24,3441.0167419690247,OUT035
FDW21,1484.9812502436512,OUT018
NCH29,2120.1117931591534,OUT046
FDU58,2697.687524365989,OUT013
FDY27,2694.2687603854256,OUT017
FDV56,1502.1718206485527,OUT035
FDT59,4103.840619317921,OUT046
FDB23,4037.70607290419,OUT046
FDR49,693.0155262234516,OUT045
FDB03,573.8211645358779,OUT010
FDN39,2674.044516997699,OUT045
FDX02,5998.294171007888,OUT027
FDQ16,3533.8814951149384,OUT027
FDU35,2120.1117931591534,OUT018
NCT29,1615.9882525896082,OUT013
FDZ27,703.9659579295834,OUT046
FDN57,2126.0800179988855,OUT017
FDA03,2592.488043102005,OUT018
FDZ36,3502.165218887644,OUT045
NCU05,1390.685972303369,OUT013
FDT39,2645.5089170002598,OUT018
FDK60,1424.8831121631758,OUT017
FDZ25,2679.505811201175,OUT017
FDG12,2120.1117931591534,OUT046
DRB01,288.3537436318606,OUT019
NCC43,4329.767040826127,OUT027
FDX13,566.1677756673208,OUT019
FDM22,1078.3914395651207,OUT049
FDJ03,918.0383132071793,OUT027
FDU14,4131.450843021674,OUT018
FDB33,351.2647388667168,OUT010
FDP27,2697.687524365989,OUT046
FDO38,155.46398809422348,OUT010
FDE28,4329.767040826127,OUT027
FDO27,1423.385853913463,OUT035
DRL23,2389.8116873269687,OUT027
FDS28,712.7796130212985,OUT046
FDX24,1406.3563169064917,OUT013
FDZ02,1380.1910780538017,OUT035
FDL46,1600.3504546024858,OUT045
FDS60,4330.743096355043,OUT027
NCO06,656.6141175610609,OUT017
FDO16,1391.5692027822288,OUT035
FDC60,1391.5692027822288,OUT049
FDA48,3899.1979268288082,OUT018
FDZ36,5998.294171007888,OUT027
FDK27,1615.9882525896082,OUT045
FDW23,670.9808814195709,OUT018
FDM14,2120.1117931591534,OUT018
FDM14,2120.1117931591534,OUT013
FDW60,3434.0012980608085,OUT018
FDE21,2120.1117931591534,OUT013
NCM42,1510.8640187011179,OUT035
FDY59,230.5650525959661,OUT010
DRI49,1389.3304027303063,OUT049
FDT28,344.3765110206428,OUT019
FDQ22,671.8204675003556,OUT018
FDR60,1334.7336566801264,OUT049
FDC50,232.1615523326961,OUT019
FDV24,1663.8113898385886,OUT013
DRF48,286.11366431345255,OUT010
FDQ47,667.69254178199,OUT046
DRN36,1424.8831121631758,OUT049
NCY06,2120.1117931591534,OUT035
FDE52,3430.977475148,OUT035
NCB54,2120.1117931591534,OUT045
NCF31,1663.8113898385886,OUT035
FDJ08,4329.767040826127,OUT027
NCC07,1498.3155763918485,OUT017
NCD19,925.0499906308971,OUT027
FDL46,1607.6253132299832,OUT049
FDM20,4147.851656413516,OUT045
NCI06,485.160031703692,OUT010
DRM11,4183.749651105946,OUT035
NCH07,2662.402058757897,OUT018
FDS23,2120.1117931591534,OUT013
FDO49,706.4799015187908,OUT018
FDS35,1133.3128858699022,OUT049
DRK39,1391.5692027822288,OUT045
DRI39,1086.9948274088658,OUT049
FDV04,1663.8113898385886,OUT017
NCN14,2697.687524365989,OUT035
FDH08,2697.687524365989,OUT013
FDS20,2697.687524365989,OUT046
FDV40,1290.7242601931332,OUT049
FDZ48,274.97193733028746,OUT010
FDS24,2389.8116873269687,OUT027
FDK44,2688.266377816054,OUT049
FDS48,1663.8113898385886,OUT045
FDK26,528.2140678212335,OUT010
FDD23,3516.0490802160666,OUT045
NCH54,2665.2435706627466,OUT017
NCP14,344.3765110206428,OUT010
FDM60,128.93071980295096,OUT010
FDV24,1663.8113898385886,OUT017
FDH08,2697.687524365989,OUT018
FDS12,3532.905439586023,OUT027
FDR39,5998.294171007888,OUT027
FDP12,884.003021735192,OUT027
DRF60,5998.294171007888,OUT027
FDC09,1498.3155763918485,OUT035
FDF50,3559.997464456203,OUT018
FDG28,2697.687524365989,OUT035
NCE19,1014.9078919593265,OUT017
NCM53,267.7333754582898,OUT010
NCN18,2120.1117931591534,OUT049
FDF32,2697.687524365989,OUT035
FDF11,4135.863041777513,OUT013
DRI59,4014.5893036443363,OUT049
NCG54,3451.2382898011656,OUT035
FDM44,1491.361462683841,OUT046
FDT57,4093.600764427088,OUT018
FDV24,1663.8113898385886,OUT046
FDI50,567.750030216172,OUT019
FDS09,695.4414899253566,OUT035
NCC31,4042.701643543779,OUT027
FDQ07,572.884611764077,OUT019
FDC22,2697.687524365989,OUT017
FDZ56,2679.505811201175,OUT046
FDZ40,135.23581897637607,OUT019
FDS46,2389.8116873269687,OUT027
DRD24,2178.9010315849096,OUT045
FDV45,3542.4787971597434,OUT017
FDL26,3433.5815939076474,OUT045
FDA56,2120.1117931591534,OUT018
FDN27,2120.1117931591534,OUT046
FDM20,4110.708893449227,OUT049
FDO16,1391.5692027822288,OUT017
FDL03,2697.687524365989,OUT035
FDE58,2120.1117931591534,OUT046
FDI02,3532.905439586023,OUT027
NCC55,128.93071980295096,OUT019
FDR03,3794.936997951416,OUT018
FDB14,1406.3563169064917,OUT017
FDR45,4135.863041777513,OUT013
NCN07,1624.1855742285388,OUT017
FDM51,243.13943914363827,OUT019
FDT52,5998.294171007888,OUT027
FDL26,3428.3194268395264,OUT046
NCZ42,4136.571388719962,OUT046
DRI47,344.3765110206428,OUT019
FDW40,2199.7082944475924,OUT013
FDN34,3440.6475455800164,OUT046
FDS01,2694.2687603854256,OUT035
NCG55,2120.1117931591534,OUT045
FDC11,2120.1117931591534,OUT035
FDX35,4000.5975455103257,OUT018
NCB06,2662.402058757897,OUT046
FDR09,572.2389099870267,OUT019
FDC53,1424.8831121631758,OUT017
FDY45,4168.726815554643,OUT013
FDA22,431.7138794473332,OUT010
FDE02,1423.385853913463,OUT035
FDW21,1484.9812502436512,OUT045
FDV34,1261.4906322966788,OUT046
FDS59,1510.8640187011179,OUT049
NCW17,2120.1117931591534,OUT017
NCK54,2120.1117931591534,OUT046
FDG17,567.750030216172,OUT019
FDG35,2688.266377816054,OUT017
FDD08,128.93071980295096,OUT010
NCO07,2697.687524365989,OUT017
FDJ10,344.3765110206428,OUT010
FDW36,1498.3155763918485,OUT017
FDW21,240.89935982523025,OUT010
FDY19,2120.1117931591534,OUT017
DRE03,747.6669589175489,OUT013
NCC55,666.9874376450986,OUT049
FDH52,141.7877355767765,OUT010
FDO09,4176.290304466053,OUT017
FDU43,2697.687524365989,OUT045
FDX09,464.5215958704493,OUT010
FDH40,201.52614000749045,OUT019
FDW58,1498.3155763918485,OUT017
FDC47,4076.4564739727302,OUT017
NCR41,2120.1117931591534,OUT035
DRG49,4132.715151904755,OUT035
FDC52,2389.8116873269687,OUT027
FDY13,1274.6576318610905,OUT046
FDY35,721.4185486736559,OUT013
FDI35,3471.8248525439158,OUT017
NCU18,2202.512255095973,OUT049
FDY33,3420.52496250806,OUT018
FDC15,2389.8116873269687,OUT027
FDU01,2697.687524365989,OUT049
NCU42,3438.4790332942857,OUT046
NCV29,2694.2687603854256,OUT018
NCY30,2697.687524365989,OUT017
FDQ46,1566.606846917604,OUT049
FDG58,3944.825428605798,OUT027
FDK33,3925.8177112416033,OUT017
NCD07,1596.422388925642,OUT045
NCX29,3532.905439586023,OUT027
NCT42,2600.4222807393153,OUT013
DRN59,693.0155262234516,OUT035
FDI44,1379.3861020868803,OUT035
FDA45,2694.2687603854256,OUT049
FDP31,1070.6816704993846,OUT045
FDY01,2120.1117931591534,OUT046
FDT09,2126.0800179988855,OUT018
DRH03,2305.8169012436288,OUT027
FDA36,2697.687524365989,OUT018
NCF31,1663.8113898385886,OUT017
FDG14,3442.573043800481,OUT049
FDG28,4329.767040826127,OUT027
FDU14,4148.558972043813,OUT049
FDY47,288.3537436318606,OUT019
FDI56,1395.4409023159847,OUT049
DRD01,1107.8880959989876,OUT013
FDM22,1100.545639431889,OUT046
FDH33,720.6360968049557,OUT013
DRZ24,2120.1117931591534,OUT013
NCQ38,1498.3155763918485,OUT046
FDO16,2389.8116873269687,OUT027
FDU07,3567.3910415776663,OUT027
