Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1525.383107575757,OUT049
FDW14,1369.1664846153847,OUT017
NCN55,583.6372011560693,OUT010
FDQ58,1896.012595348837,OUT017
FDY38,6367.764041269838,OUT027
FDH56,1705.3490010869566,OUT046
FDL48,684.5836303030308,OUT018
FDC48,2282.8084213592233,OUT027
FDN33,1407.5078580000002,OUT045
FDA36,2979.5148471910093,OUT017
FDT44,1535.3863760563383,OUT017
FDQ56,1369.1664846153847,OUT045
NCC54,583.6372011560693,OUT019
FDU11,2381.785145038167,OUT049
DRL59,684.5836303030308,OUT013
FDM24,2260.161413793104,OUT049
FDI57,3733.9569976190464,OUT045
DRC12,2472.942983177569,OUT018
NCM42,2507.7161176470586,OUT027
FDA46,490.1262341463413,OUT010
FDA31,2508.868517985612,OUT013
NCJ31,3748.941813861387,OUT035
FDG52,753.7126965116283,OUT046
NCL19,327.53172578616375,OUT019
FDS10,2979.5148471910093,OUT035
FDX22,583.6372011560693,OUT010
NCF19,753.7126965116283,OUT035
NCE06,1896.012595348837,OUT046
DRC27,3049.0817586956514,OUT046
FDE21,2218.977246268658,OUT035
NCR42,92.67548155339804,OUT019
FDX51,2738.667839053255,OUT018
NCR06,496.5611773584909,OUT018
FDU31,4462.521958778627,OUT027
FDU59,3170.308017391304,OUT017
FDR03,6367.764041269838,OUT027
FDS49,2282.8084213592233,OUT027
FDD48,327.53172578616375,OUT010
NCF18,3733.9569976190464,OUT017
NCD43,2507.7161176470586,OUT027
NCD54,2063.101362295083,OUT018
FDY19,327.53172578616375,OUT010
NCY54,3536.0129755725193,OUT017
NCL19,2283.2501333333325,OUT018
FDP23,583.6372011560693,OUT010
FDC26,1705.3490010869566,OUT013
FDR14,165.91858165137614,OUT010
NCS41,2979.5148471910093,OUT035
FDF41,3748.941813861387,OUT035
FDU34,2381.785145038167,OUT046
DRH11,916.9260097826082,OUT046
FDM03,1323.298049382716,OUT013
FDS31,2979.5148471910093,OUT017
FDJ20,1535.3863760563383,OUT017
FDV44,4462.521958778627,OUT027
FDG02,2979.5148471910093,OUT049
FDA09,2791.112776216218,OUT013
FDT04,496.5611773584909,OUT013
FDL58,583.6372011560693,OUT019
FDE52,3170.308017391304,OUT045
FDW12,2508.868517985612,OUT035
FDL51,2472.942983177569,OUT017
NCY42,3782.7328118811884,OUT027
FDR07,1599.4474235294117,OUT017
FDN40,2260.161413793104,OUT045
FDB35,2282.8084213592233,OUT027
FDA22,3170.308017391304,OUT017
NCL06,3049.0817586956514,OUT046
FDI35,3536.0129755725193,OUT013
NCW42,3049.0817586956514,OUT045
NCX06,2423.5481286821714,OUT049
FDC37,3437.494287850468,OUT027
FDZ14,2063.101362295083,OUT018
DRG49,4421.557122981369,OUT049
NCG06,4149.773190099009,OUT045
DRC36,2791.112776216218,OUT045
FDV21,327.53172578616375,OUT019
FDB53,3170.308017391304,OUT046
DRP47,583.6372011560693,OUT019
FDA14,1705.3490010869566,OUT013
DRC24,3170.308017391304,OUT035
FDW21,1323.298049382716,OUT018
NCH29,2218.977246268658,OUT046
FDU58,2979.5148471910093,OUT013
FDY27,2260.161413793104,OUT017
FDV56,1599.4474235294117,OUT035
FDT59,3949.1048797545977,OUT046
FDB23,4289.47653114754,OUT046
FDR49,753.7126965116283,OUT045
FDB03,583.6372011560693,OUT010
FDN39,2807.2505857142874,OUT045
FDX02,6367.764041269838,OUT027
FDQ16,3437.494287850468,OUT027
FDU35,1746.6513225225226,OUT018
NCT29,1705.3490010869566,OUT013
FDZ27,753.7126965116283,OUT046
FDN57,2228.8190701149433,OUT017
FDA03,2283.2501333333325,OUT018
FDZ36,3733.9569976190464,OUT045
NCU05,1138.1988561983467,OUT013
FDT39,2283.2501333333325,OUT018
FDK60,1599.4474235294117,OUT017
FDZ25,2791.112776216218,OUT017
FDG12,2381.785145038167,OUT046
DRB01,318.61556363636373,OUT019
NCC43,4462.521958778627,OUT027
FDX13,583.6372011560693,OUT019
FDM22,916.9260097826082,OUT049
FDJ03,1324.458968627452,OUT027
FDU14,3569.5654108527115,OUT018
FDB33,327.53172578616375,OUT010
FDP27,2738.667839053255,OUT046
FDO38,165.91858165137614,OUT010
FDE28,4462.521958778627,OUT027
FDO27,1599.4474235294117,OUT035
DRL23,2507.7161176470586,OUT027
FDS28,753.7126965116283,OUT046
FDX24,1323.298049382716,OUT013
FDZ02,1599.4474235294117,OUT035
FDL46,1535.3863760563383,OUT045
FDS60,4462.521958778627,OUT027
NCO06,578.67374214876,OUT017
FDO16,1369.1664846153847,OUT035
FDC60,1379.1134209677418,OUT049
FDA48,3569.5654108527115,OUT018
FDZ36,5567.597939285714,OUT027
FDK27,1621.5138834951456,OUT045
FDW23,496.5611773584909,OUT018
FDM14,1746.6513225225226,OUT018
FDM14,2218.977246268658,OUT013
FDW60,3299.111195180723,OUT018
FDE21,2218.977246268658,OUT013
NCM42,1599.4474235294117,OUT035
FDY59,229.7925915343914,OUT010
DRI49,1138.1988561983467,OUT049
FDT28,327.53172578616375,OUT019
FDQ22,496.5611773584909,OUT018
FDR60,1138.1988561983467,OUT049
FDC50,229.7925915343914,OUT019
FDV24,1896.012595348837,OUT013
DRF48,318.61556363636373,OUT010
FDQ47,578.67374214876,OUT046
DRN36,1525.383107575757,OUT049
NCY06,2228.8190701149433,OUT035
